,Locality,Ward,Pct,Total:Population of one race:White,Total:Population of one race:Black or African American,Total:Population of one race:American Indian and Alaska Native,Total:Population of one race:Asian,Total:Population of one race:Native Hawaiian and Other Pacific Islander,Total:Population of one race:Some other race,Total:Population of two or more races:,Total:Population of two or more races:Two races including Some other race,"Total:Population of two or more races:Two races excluding Some other race, and three or more races",Total:Population of two or more races:Population of two races:,Total:Population of two or more races:Population of two races:White; Black or African American,Total:Population of two or more races:Population of two races:White; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:White; Asian,Total:Population of two or more races:Population of two races:Black or African American; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:All other two race combinations,Total:Population of two or more races:Population of three races,Total:Population of two or more races:Population of four or more races,Yes,No,Blanks,Total Votes Cast
813,MILTON,-,5,22839,6757,14,3066,27,697,1198,100,1098,1132,335,32,311,249,205,66,0,551,777,27.0,"1,355"
814,MILTON,-,6,80267,34717,784,7452,0,5451,4409,523,3886,3758,1687,280,731,183,877,651,0,674,"1,109",20.0,"1,803"
815,MILTON,-,7,59379,1947,638,19000,0,871,1314,10,1304,840,181,6,331,0,322,474,0,710,886,19.0,"1,615"
816,MILTON,-,8,20731,359,294,2872,0,257,485,0,485,248,67,0,103,0,78,237,0,747,961,37.0,"1,745"
817,MILTON,-,9,14545,8936,0,2722,0,401,1283,108,1175,1184,343,48,322,363,108,99,0,579,"1,105",38.0,"1,722"
818,MONROE,-,1,1374,59,2,0,0,9,44,0,44,38,24,14,0,0,0,6,0,43,16,0.0,59
819,MONSON,-,A,159516,2967,94,2803,8,1479,3706,515,3191,3346,929,546,1114,216,541,339,21,872,659,28.0,"1,559"
820,MONSON,-,B,119534,2012,60,1914,8,598,1994,86,1908,1936,464,434,758,168,112,58,0,875,635,21.0,"1,531"
821,MONSON,-,C,11348,286,0,328,0,96,626,0,626,420,202,54,116,48,0,206,0,917,653,20.0,"1,590"
822,MONTEREY,-,1,14571,306,16,214,6,253,143,0,143,143,85,27,31,0,0,0,0,330,192,32.0,554
823,MONTGOMERY,-,1,188467,3673,196,5316,89,817,3679,225,3454,3561,1125,771,1280,44,341,118,0,268,232,30.0,530
824,MOUNT WASHINGTON,-,1,8156,15,50,29,4,32,15,0,15,15,0,0,9,1,5,0,0,68,34,5.0,107
825,NAHANT,-,1,51240,2412,44,756,0,2356,1240,4,1236,1240,820,140,276,0,4,0,0,"1,260","1,081",37.0,"2,378"
826,NANTUCKET,-,1,29132,2806,96,142,14,376,1346,352,994,1286,0,254,412,0,620,60,0,"4,084","2,320",179.0,"6,583"
827,NATICK,-,1.0,10280,1005,97,1169,0,2935,301,108,193,268,76,5,56,23,108,33,0,800,547,37.0,"1,384"
828,NATICK,-,2.0,14532,1197,97,1515,0,3111,366,108,258,333,123,5,74,23,108,33,0,"1,126",995,54.0,"2,175"
829,NATICK,-,1,3842,28,0,267,0,25,154,17,137,154,42,0,95,0,17,0,0,800,547,37.0,"1,384"
830,NATICK,-,10,69251,1114,63,5426,13,222,1294,104,1190,1294,311,67,728,7,181,0,0,"1,228","1,181",34.0,"2,443"
831,NATICK,-,2,59427,6015,467,12065,35,9196,2812,714,2098,2652,672,164,844,60,912,160,0,"1,126",995,54.0,"2,175"
832,NATICK,-,3,37523,3684,222,7259,0,5899,1705,465,1240,1629,437,98,457,40,597,76,0,"1,026",992,32.0,"2,050"
833,NATICK,-,4,81754,6204,354,12438,0,9643,3037,692,2345,2923,752,147,1053,60,911,114,0,"1,051",773,28.0,"1,852"
834,NATICK,-,5,94172,6035,333,15685,82,9379,3719,676,3043,3513,805,213,1465,60,970,206,0,"1,061",919,38.0,"2,018"
835,NATICK,-,6,71701,2658,144,9632,50,920,2139,137,2002,2093,405,99,1332,0,257,46,0,988,898,48.0,"1,934"
836,NATICK,-,7,68219,3006,174,7855,22,3958,2062,314,1748,2024,431,74,963,27,529,38,0,"1,141",929,23.0,"2,093"
837,NATICK,-,8,62667,4292,264,8900,0,6163,2089,505,1584,2013,573,98,623,40,679,76,0,"1,162",923,28.0,"2,113"
838,NATICK,-,9,50037,2719,174,6245,13,3334,1481,311,1170,1443,372,50,540,27,454,38,0,"1,091",910,34.0,"2,035"
839,NEEDHAM,-,A,141617,3771,216,11086,8,1700,3269,372,2897,3204,617,564,1540,39,444,65,0,767,858,31.0,"1,656"
840,NEEDHAM,-,B,84545,2106,74,5637,8,619,2086,218,1868,2030,320,273,1058,39,340,56,0,757,"1,036",58.0,"1,851"
841,NEEDHAM,-,C,83459,1986,0,8163,39,370,2157,336,1821,2157,224,80,1284,21,548,0,0,788,"1,007",30.0,"1,825"
842,NEEDHAM,-,D,136810,2618,49,7479,0,381,2411,229,2182,2402,423,405,1191,0,383,9,0,889,923,24.0,"1,836"
843,NEEDHAM,-,E,66593,1355,14,4899,0,234,1209,248,961,1209,94,89,744,0,282,0,0,877,990,28.0,"1,895"
844,NEEDHAM,-,F,142691,3429,98,6811,0,963,2942,371,2571,2924,537,557,1253,0,577,18,0,890,920,32.0,"1,842"
845,NEEDHAM,-,G,192606,3647,147,6557,0,999,3296,177,3119,3269,656,841,1473,0,299,27,0,789,"1,089",25.0,"1,903"
846,NEEDHAM,-,H,159473,2877,131,8447,0,1125,3328,325,3003,3187,483,625,1702,0,377,141,0,781,"1,082",20.0,"1,883"
847,NEEDHAM,-,I,277615,4765,245,7570,0,1615,4680,125,4555,4635,1030,1365,2025,0,215,45,0,770,"1,079",29.0,"1,878"
848,NEEDHAM,-,J,280701,5746,295,11364,0,2309,5198,279,4919,5123,1172,1371,2195,0,385,75,0,895,980,28.0,"1,903"
849,NEW ASHFORD,-,1,12567,125,20,177,0,24,141,16,125,135,22,52,42,3,16,6,0,101,52,8.0,161
850,NEW BRAINTREE,-,1,36496,294,65,160,30,127,556,150,406,527,118,38,209,0,162,0,29,329,275,19.0,623
851,NEW MARLBOROUGH,-,1,18926,314,21,210,12,243,115,0,115,115,76,17,22,0,0,0,0,532,290,49.0,871
852,NEW SALEM,-,1,6310,54,11,40,2,9,187,39,148,187,10,60,78,0,39,0,0,366,226,22.0,614
853,NEWBURY,-,1,55805,466,0,913,0,936,611,0,611,501,310,19,157,0,15,110,0,"1,301",974,21.0,"2,296"
854,NEWBURY,-,2,64113,660,51,1201,0,601,686,0,686,620,292,62,218,0,48,66,0,"1,208","1,098",21.0,"2,327"
855,NEWBURYPORT,1,1,36939,219,0,400,0,606,264,0,264,198,120,0,78,0,0,66,0,840,632,31.0,"1,503"
856,NEWBURYPORT,2,1,33632,200,0,746,0,412,312,0,312,268,114,38,86,0,30,44,0,"1,201",748,30.0,"1,979"
857,NEWBURYPORT,3,1,57290,1065,0,1601,0,376,972,0,972,912,558,98,142,0,114,60,0,"1,038",800,36.0,"1,874"
858,NEWBURYPORT,4,1,33226,1034,0,798,0,0,296,0,296,296,106,54,34,0,102,0,0,"1,069",965,40.0,"2,074"
859,NEWBURYPORT,5,1,28106,838,0,622,0,36,582,0,582,566,427,31,39,0,69,16,0,833,888,20.0,"1,741"
860,NEWBURYPORT,6,1,37205,835,0,473,0,36,548,0,548,532,410,40,28,0,54,16,0,987,841,79.0,"1,907"
861,NEWTON,1,3,4615,89,0,493,0,67,201,0,201,109,40,0,69,0,0,0,92,907,555,26.0,"1,488"
862,NEWTON,3,4,4183,177,0,355,0,593,277,0,277,277,234,25,18,0,0,0,0,869,691,32.0,"1,592"
863,NEWTON,4,4,4183,177,0,355,0,593,277,0,277,277,234,25,18,0,0,0,0,807,613,33.0,"1,453"
864,NEWTON,8,2,16335,834,0,1725,0,450,1077,135,942,798,48,168,447,0,135,279,0,792,809,41.0,"1,642"
865,NEWTON,8,4,10890,556,0,1150,0,300,718,90,628,532,32,112,298,0,90,186,0,509,532,31.0,"1,072"
866,NORFOLK,-,2,59932,2878,58,1180,0,1216,1424,572,852,1420,298,222,328,0,572,4,0,"1,303","1,300",33.0,"2,636"
867,NORFOLK,-,3,13468,368,24,476,0,541,452,15,437,274,83,68,108,0,15,178,0,"1,053","1,110",23.0,"2,186"
868,NORTHAMPTON,1,A,4544,421,24,179,0,56,95,46,49,95,15,17,0,17,46,0,0,742,241,37.0,"1,020"
869,NORTHAMPTON,1,B,34511,1063,108,1022,20,758,1469,201,1268,1184,299,197,341,17,330,285,0,792,554,89.0,"1,435"
870,NORTHAMPTON,2,B,5751,34,1,35,0,81,122,0,122,122,3,18,101,0,0,0,0,586,179,33.0,798
871,NORTHAMPTON,3,A,35324,1210,50,675,0,401,986,192,794,984,123,133,502,34,192,2,0,"1,042",270,37.0,"1,349"
872,NORTHAMPTON,3,B,5751,34,1,35,0,81,122,0,122,122,3,18,101,0,0,0,0,965,235,63.0,"1,263"
873,NORTHAMPTON,4,B,31987,402,3,352,0,370,918,100,818,916,96,117,603,0,100,2,0,850,294,46.0,"1,190"
874,NORTHAMPTON,5,A,23338,772,80,634,0,220,1092,266,826,1042,168,24,434,0,416,50,0,765,364,35.0,"1,164"
875,NORTHAMPTON,5,B,23171,454,42,387,0,272,790,133,657,765,90,48,419,0,208,25,0,856,316,22.0,"1,194"
876,NORTHAMPTON,6,A,23171,454,42,387,0,272,790,133,657,765,90,48,419,0,208,25,0,751,494,23.0,"1,268"
877,NORTHAMPTON,6,B,23171,454,42,387,0,272,790,133,657,765,90,48,419,0,208,25,0,840,520,28.0,"1,388"
878,NORTHAMPTON,7,A,49907,1320,143,1249,10,707,2174,410,1764,1969,355,138,814,0,662,205,0,815,494,42.0,"1,351"
879,NORTHAMPTON,7,B,34840,840,82,704,0,382,1336,266,1070,1286,174,60,636,0,416,50,0,837,476,22.0,"1,335"
880,NORTHBOROUGH,-,1,34103,1482,46,9550,0,783,1653,314,1339,1593,286,144,810,0,353,60,0,"1,152","1,176",15.0,"2,343"
881,NORTHBOROUGH,-,2,60973,1086,42,8887,9,1052,1440,67,1373,1328,414,167,636,0,111,112,0,"1,070","1,044",25.0,"2,139"
882,NORTHBOROUGH,-,3,46618,873,60,8372,98,1195,1360,324,1036,1261,152,114,587,0,408,99,0,"1,050","1,182",35.0,"2,267"
883,NORTHBOROUGH,-,4,36981,270,24,4153,49,620,799,162,637,705,49,100,382,0,174,94,0,"1,168","1,129",20.0,"2,317"
884,NORTHBRIDGE,-,1,87204,2420,191,1512,47,2057,3327,356,2971,2836,972,238,954,19,653,491,0,"1,122",971,23.0,"2,116"
885,NORTHBRIDGE,-,2,80961,2538,54,3691,61,2289,2854,397,2457,2488,739,358,741,10,640,366,0,"1,108",967,28.0,"2,103"
886,NORTHBRIDGE,-,3,43828,1106,141,509,28,715,1863,137,1726,1635,510,123,685,0,317,228,0,906,870,11.0,"1,787"
887,NORTHBRIDGE,-,4,68728,1647,148,2034,75,1183,2558,258,2300,2296,716,242,856,5,477,262,0,"1,081","1,295",25.0,"2,401"
888,NORTON,-,1,30752,852,0,496,34,788,674,112,562,584,202,100,80,0,202,90,0,"1,181","1,039",116.0,"2,336"
889,NORTON,-,2,13224,324,0,330,0,0,204,110,94,204,58,36,0,0,110,0,0,"1,146",954,60.0,"2,160"
890,NORTON,-,4,5503,421,0,551,0,107,0,0,0,0,0,0,0,0,0,0,0,"1,130","1,003",45.0,"2,178"
891,NORTON,-,5,23044,1340,0,1218,0,1002,310,2,308,220,140,64,14,0,2,90,0,701,572,40.0,"1,313"
892,NORWELL,-,1,41464,305,0,413,8,438,466,7,459,354,164,104,79,0,7,30,82,976,"1,135",29.0,"2,140"
893,NORWELL,-,3,58609,363,12,548,7,322,875,247,628,875,240,218,170,0,247,0,0,"1,039","1,246",16.0,"2,301"
894,NORWOOD,-,1,59946,3078,0,3826,0,516,1055,103,952,1048,206,149,497,65,131,0,7,902,"1,010",40.0,"1,952"
895,NORWOOD,-,2,38396,2060,0,3660,0,484,1193,206,987,1179,208,161,418,130,262,0,14,819,919,29.0,"1,767"
896,NORWOOD,-,3,45957,3537,0,2978,0,681,880,58,822,866,248,180,189,130,119,0,14,885,932,36.0,"1,853"
897,NORWOOD,-,4,57217,2814,69,5557,0,829,1713,224,1489,1619,282,229,585,195,328,73,21,818,"1,156",54.0,"2,028"
898,NORWOOD,-,5,41683,2169,138,2579,0,732,736,44,692,590,148,32,316,0,94,146,0,777,611,32.0,"1,420"
899,NORWOOD,-,6,64182,3408,207,4965,0,1123,1163,66,1097,944,222,48,533,0,141,219,0,729,710,40.0,"1,479"
900,NORWOOD,-,7,46824,3820,0,1581,0,931,510,66,444,510,208,38,183,0,81,0,0,744,919,43.0,"1,706"
901,NORWOOD,-,8,33183,1833,0,999,0,312,207,0,207,207,60,57,90,0,0,0,0,891,978,61.0,"1,930"
902,NORWOOD,-,9,67890,4239,14,4739,27,1216,1142,72,1070,1142,300,41,607,7,187,0,0,844,"1,101",36.0,"1,981"
903,OAK BLUFFS,-,1,46140,3227,170,90,0,1200,1786,195,1591,1353,727,397,1,10,218,433,0,"1,844","1,122",83.0,"3,049"
904,OAKHAM,-,1,24334,607,2,209,36,54,366,86,280,330,43,40,157,0,90,7,29,616,504,64.0,"1,184"
905,ORANGE,-,1,13591,172,0,46,0,661,547,130,417,495,269,12,74,0,140,38,14,973,716,35.0,"1,724"
906,ORANGE,-,2,7679,78,11,32,0,31,153,30,123,139,13,40,46,0,40,0,14,917,747,47.0,"1,711"
907,OTIS,-,1,156925,3338,203,4803,0,697,3294,224,3070,3146,937,706,1127,36,340,148,0,525,367,32.0,924
908,OXFORD,-,1,77065,1622,144,1633,0,1099,2168,670,1498,2114,287,267,836,0,724,54,0,"1,006",757,17.0,"1,780"
909,OXFORD,-,2,56237,1462,0,1486,20,702,2045,652,1393,1961,276,289,693,22,681,84,0,963,752,25.0,"1,740"
910,OXFORD,-,3,49278,1197,0,1353,0,1046,1965,636,1329,1965,294,339,663,0,669,0,0,972,842,23.0,"1,837"
911,OXFORD,-,4,44591,1010,0,1017,0,969,1159,333,826,1159,196,263,349,0,351,0,0,865,788,15.0,"1,668"
912,PALMER,-,1,58290,1241,34,1349,0,977,2338,429,1909,1830,667,166,472,96,429,487,21,815,618,26.0,"1,459"
913,PALMER,-,2,35112,638,0,964,0,192,1252,0,1252,840,404,108,232,96,0,412,0,857,808,21.0,"1,686"
914,PALMER,-,3,82284,1910,68,1822,0,1762,3424,858,2566,2820,930,224,712,96,858,562,42,748,548,27.0,"1,323"
915,PALMER,-,4,61908,1338,68,1210,0,1570,2172,858,1314,1980,526,116,480,0,858,150,42,872,606,29.0,"1,507"
916,PAXTON,-,1,109083,8850,387,8687,193,3948,3622,378,3244,3191,1484,214,1012,69,412,431,0,"1,235","1,446",27.0,"2,708"
917,PEABODY,1,1,39371,2836,288,760,0,1753,2176,984,1192,1914,590,163,136,0,1025,262,0,827,785,46.0,"1,658"
918,PEABODY,1,2,53865,2301,134,1003,0,604,2139,1204,935,2063,336,231,184,44,1268,76,0,766,"1,047",30.0,"1,843"
919,PEABODY,1,3,48949,2314,160,701,0,975,2258,1242,1016,2078,345,213,256,22,1242,180,0,847,957,25.0,"1,829"
920,PEABODY,2,1,42646,3006,69,334,0,1679,1727,885,842,1671,508,50,184,44,885,56,0,585,550,53.0,"1,188"
921,PEABODY,2,2,38426,2640,100,717,0,2658,1481,616,865,1365,456,21,272,0,616,116,0,617,514,38.0,"1,169"
922,PEABODY,2,3,43984,3373,207,485,0,1028,1611,817,794,1457,377,100,119,44,817,154,0,721,685,55.0,"1,461"
923,PEABODY,3,1,34506,1557,31,696,0,1930,1618,517,1101,1544,697,21,269,0,557,74,0,471,472,87.0,"1,030"
924,PEABODY,3,2,86841,5199,93,2226,0,4026,2541,675,1866,2319,957,63,498,66,735,222,0,581,665,64.0,"1,310"
925,PEABODY,3,3,72989,3037,293,1862,0,2412,1819,225,1594,1719,781,319,290,44,285,100,0,691,786,32.0,"1,509"
926,PEABODY,4,1,45009,3053,192,688,0,962,1352,549,803,1296,464,81,136,66,549,56,0,759,754,38.0,"1,551"
927,PEABODY,4,2,49826,3006,369,1238,0,728,811,0,811,811,495,93,135,88,0,0,0,660,811,34.0,"1,505"
928,PEABODY,4,3,15884,404,246,580,0,432,482,0,482,482,330,62,90,0,0,0,0,376,494,14.0,884
929,PEABODY,5,1,43326,2406,369,1146,0,708,789,0,789,789,495,93,135,66,0,0,0,788,974,38.0,"1,800"
930,PEABODY,5,2,19467,276,123,330,0,216,288,0,288,288,211,31,46,0,0,0,0,724,701,32.0,"1,457"
931,PEABODY,5,3,57386,1462,246,1272,0,488,926,0,926,926,554,62,160,22,128,0,0,764,817,29.0,"1,610"
932,PEABODY,6,1,66327,740,123,1538,0,256,876,0,876,876,469,127,152,0,128,0,0,791,996,30.0,"1,817"
933,PEABODY,6,2,41019,263,0,120,0,0,141,0,141,141,138,0,3,0,0,0,0,731,"1,004",24.0,"1,759"
934,PEABODY,6,3,42715,203,0,648,0,4,213,0,213,213,80,96,37,0,0,0,0,785,950,28.0,"1,763"
935,PELHAM,-,1,23292,3033,0,4431,27,1041,2880,354,2526,2598,1599,123,480,0,396,90,192,658,245,12.0,915
936,PEMBROKE,-,1,19175,37,0,173,0,132,368,0,368,368,148,0,220,0,0,0,0,"1,039","1,211",31.0,"2,281"
937,PEMBROKE,-,2,38350,74,0,346,0,264,736,0,736,736,296,0,440,0,0,0,0,"1,004",998,16.0,"2,018"
938,PEMBROKE,-,3,48731,339,7,379,0,335,775,0,775,775,327,8,440,0,0,0,0,"1,172",932,28.0,"2,132"
939,PEMBROKE,-,4,57525,111,0,519,0,396,1104,0,1104,1104,444,0,660,0,0,0,0,996,"1,109",22.0,"2,127"
940,PEMBROKE,-,5,19175,37,0,173,0,132,368,0,368,368,148,0,220,0,0,0,0,968,"1,070",20.0,"2,058"
941,PEPPERELL,-,1,3183,0,0,136,0,4,43,0,43,43,12,31,0,0,0,0,0,"1,242","1,028",29.0,"2,299"
942,PERU,-,1,13628,71,36,82,4,66,267,67,200,190,48,39,36,0,67,77,0,306,204,9.0,519
943,PETERSHAM,-,1,18512,225,13,105,34,31,463,128,335,434,49,109,144,0,132,0,29,466,329,32.0,827
944,PHILLIPSTON,-,1,59942,354,118,1013,34,609,868,230,638,795,176,144,245,0,230,44,29,611,412,7.0,"1,030"
945,PITTSFIELD,1,A,9057,548,46,194,0,181,354,31,323,354,307,16,0,0,31,0,0,714,448,40.0,"1,202"
946,PITTSFIELD,1,B,11323,190,20,347,0,104,135,0,135,135,108,0,27,0,0,0,0,759,668,48.0,"1,475"
947,PITTSFIELD,2,A,8845,274,12,275,0,44,245,11,234,245,207,0,27,0,11,0,0,606,222,28.0,856
948,PITTSFIELD,2,B,22646,380,40,694,0,208,270,0,270,270,216,0,54,0,0,0,0,854,630,50.0,"1,534"
949,PITTSFIELD,3,A,39951,613,81,1086,0,221,2016,22,1994,2016,1682,123,189,0,22,0,0,951,703,42.0,"1,696"
950,PITTSFIELD,3,B,35686,149,57,1187,0,265,1781,0,1781,1781,1442,123,216,0,0,0,0,946,831,47.0,"1,824"
951,PITTSFIELD,4,A,44073,1270,136,643,0,104,2693,55,2638,2693,2339,164,135,0,55,0,0,999,693,30.0,"1,722"
952,PITTSFIELD,4,B,35543,342,88,845,0,192,2223,11,2212,2223,1859,164,189,0,11,0,0,942,"1,031",53.0,"2,026"
953,PITTSFIELD,5,A,32421,1478,93,330,0,199,1396,75,1321,1396,1237,57,27,0,75,0,0,842,492,28.0,"1,362"
954,PITTSFIELD,5,B,26446,1021,69,214,0,220,1076,53,1023,1076,939,57,27,0,53,0,0,969,586,33.0,"1,588"
955,PITTSFIELD,6,A,14922,1263,78,192,0,426,912,93,819,912,771,48,0,0,93,0,0,841,677,49.0,"1,567"
956,PITTSFIELD,6,B,11045,1930,130,320,0,605,1520,155,1365,1520,1285,80,0,0,155,0,0,627,406,24.0,"1,057"
957,PITTSFIELD,7,A,4418,772,52,128,0,242,608,62,546,608,514,32,0,0,62,0,0,667,302,28.0,997
958,PITTSFIELD,7,B,6627,1158,78,192,0,363,912,93,819,912,771,48,0,0,93,0,0,929,604,39.0,"1,572"
959,PLAINFIELD,-,1,9299,75,32,62,0,35,174,26,148,131,40,34,31,0,26,43,0,261,139,19.0,419
960,PLAINVILLE,-,1,316412,12382,460,13424,20,2960,7184,788,6396,6708,2994,446,1968,292,1008,476,0,868,830,17.0,"1,715"
961,PLAINVILLE,-,2,361320,14745,575,15395,25,3080,8055,985,7070,7905,3470,350,2460,365,1260,150,0,835,732,22.0,"1,589"
962,PLAINVILLE,-,3,304408,11998,460,13011,20,2741,6700,788,5912,6484,2863,315,2006,292,1008,191,25,945,724,11.0,"1,680"
963,PLYMOUTH,-,1,61059,1332,48,773,0,998,1307,203,1104,1137,377,355,201,1,203,170,0,920,678,32.0,"1,630"
964,PLYMOUTH,-,10,104942,2346,84,1530,0,949,2514,332,2182,2501,362,670,608,529,332,13,0,772,692,11.0,"1,475"
965,PLYMOUTH,-,11,52855,1259,167,711,0,859,1769,18,1751,1769,374,418,449,510,18,0,0,"1,131","1,269",48.0,"2,448"
966,PLYMOUTH,-,12,71055,1708,459,1180,0,2281,2362,977,1385,2349,177,718,392,37,1025,13,0,"1,242",938,26.0,"2,206"
967,PLYMOUTH,-,13,40665,954,142,466,0,759,1765,40,1725,1678,447,503,56,632,40,87,0,"1,032","1,113",27.0,"2,172"
968,PLYMOUTH,-,15,50824,1210,27,872,0,514,989,161,828,976,177,280,321,37,161,13,0,"1,513","2,445",45.0,"4,003"
969,PLYMOUTH,-,2,52573,2075,89,480,0,1246,1778,112,1666,1532,516,376,176,352,112,246,0,"1,189",903,33.0,"2,125"
970,PLYMOUTH,-,3,50429,1508,64,481,0,1013,1272,279,993,1113,334,222,102,176,279,159,0,"1,031",749,26.0,"1,806"
971,PLYMOUTH,-,4,109037,1779,27,1742,0,960,1840,565,1275,1814,276,533,420,20,565,26,0,"1,010",965,25.0,"2,000"
972,PLYMOUTH,-,5,134695,3193,95,2162,0,1294,2986,385,2601,2960,486,823,858,408,385,26,0,"1,224","1,078",13.0,"2,315"
973,PLYMOUTH,-,6,78340,732,18,1428,0,464,1434,286,1148,1408,250,524,346,2,286,26,0,"1,258",992,16.0,"2,266"
974,PLYMOUTH,-,9,8528,262,144,99,0,791,427,272,155,427,0,139,0,0,288,0,0,"1,061",804,23.0,"1,888"
975,PLYMPTON,-,1,63713,815,90,552,0,835,879,0,879,879,334,16,529,0,0,0,0,951,798,59.0,"1,808"
976,PRINCETON,-,1,94715,1365,26,2078,14,1374,1611,351,1260,1436,525,64,488,0,359,156,19,"1,290","1,039",16.0,"2,345"
977,QUINCY,3,1,12646,1055,0,7408,0,407,134,0,134,134,19,0,115,0,0,0,0,861,713,51.0,"1,625"
978,QUINCY,3,2,25047,1808,75,21811,0,289,471,15,456,471,42,9,171,0,249,0,0,730,665,20.0,"1,415"
979,QUINCY,3,3,18093,965,100,16308,0,13,496,20,476,496,75,12,77,0,332,0,0,484,480,5.0,969
980,QUINCY,3,4,36370,2291,150,30970,0,425,836,30,806,836,103,18,217,0,498,0,0,720,898,12.0,"1,630"
981,QUINCY,3,5,31635,1950,150,29580,0,186,774,30,744,774,84,18,174,0,498,0,0,478,458,27.0,963
982,QUINCY,4,1,25139,16252,27,8680,12,2962,1293,178,1115,1259,764,114,129,74,178,34,0,814,647,26.0,"1,487"
983,QUINCY,4,2,12107,920,0,4786,0,534,148,0,148,148,38,0,110,0,0,0,0,799,880,8.0,"1,687"
984,QUINCY,4,3,21577,1602,0,7566,0,1012,272,0,272,272,76,0,196,0,0,0,0,729,904,10.0,"1,643"
985,QUINCY,4,4,4735,341,0,1390,0,239,62,0,62,62,19,0,43,0,0,0,0,736,430,7.0,"1,173"
986,QUINCY,5,2,17136,1094,75,15793,0,121,399,15,384,399,42,9,99,0,249,0,0,633,650,7.0,"1,290"
987,QUINCY,5,3,5274,476,0,4012,0,112,48,0,48,48,0,0,48,0,0,0,0,746,722,18.0,"1,486"
988,QUINCY,6,1,6231,347,25,4527,0,4,145,5,140,145,33,3,26,0,83,0,0,650,614,28.0,"1,292"
989,QUINCY,6,2,11862,618,75,11781,0,9,351,15,336,351,42,9,51,0,249,0,0,469,488,18.0,975
990,QUINCY,6,3,52486,4397,122,25806,146,848,1721,145,1576,1700,469,119,655,0,457,10,11,768,901,34.0,"1,703"
991,QUINCY,6,5,136488,12009,291,63237,438,2531,4700,420,4280,4637,1289,348,1878,0,1122,30,33,954,"1,021",32.0,"2,007"
992,RANDOLPH,-,1,10558,2803,32,430,0,307,562,196,366,479,40,14,213,16,196,83,0,595,637,67.0,"1,299"
993,RANDOLPH,-,10,53674,47215,178,16456,63,7414,3773,575,3198,3671,2294,343,125,229,680,102,0,650,624,56.0,"1,330"
994,RANDOLPH,-,11,58293,76264,135,22983,60,11321,5592,890,4702,5422,3568,570,0,370,914,170,0,625,672,91.0,"1,388"
995,RANDOLPH,-,12,41160,46147,81,15353,36,7070,3440,534,2906,3338,2173,342,43,222,558,102,0,655,646,63.0,"1,364"
996,RANDOLPH,-,2,17718,3573,33,1132,0,754,660,29,631,543,184,64,160,31,104,107,10,554,513,76.0,"1,143"
997,RANDOLPH,-,3,8328,1855,0,385,0,93,384,179,205,300,0,0,105,16,179,84,0,601,539,73.0,"1,213"
998,RANDOLPH,-,4,17340,1992,42,1859,0,179,665,179,486,534,24,101,214,16,179,131,0,647,615,85.0,"1,347"
999,RANDOLPH,-,5,39436,45885,81,14820,36,6898,3547,534,3013,3398,2154,403,61,222,558,149,0,585,542,53.0,"1,180"
1000,RANDOLPH,-,6,21868,30458,54,9020,24,4490,2214,356,1858,2146,1414,228,0,148,356,68,0,589,541,61.0,"1,191"
1001,RANDOLPH,-,7,18980,3254,100,1760,0,702,637,33,604,521,218,58,106,31,108,106,10,633,596,68.0,"1,297"
1002,RANDOLPH,-,8,21868,30458,54,9020,24,4490,2214,356,1858,2146,1414,228,0,148,356,68,0,607,669,63.0,"1,339"
1003,RAYNHAM,-,1,46973,916,0,414,0,222,1013,308,705,1013,52,102,551,0,308,0,0,794,908,36.0,"1,738"
1004,RAYNHAM,-,2,55033,1696,0,1519,0,698,1186,350,836,1186,143,23,670,0,350,0,0,823,840,35.0,"1,698"
1005,RAYNHAM,-,3,27189,498,0,207,0,141,507,198,309,507,0,0,309,0,198,0,0,934,982,51.0,"1,967"
1006,RAYNHAM,-,4,54236,1359,0,978,0,609,1200,372,828,1200,143,23,662,0,372,0,0,895,904,27.0,"1,826"
1007,READING,-,1,90562,1671,0,4884,20,683,1561,234,1327,1333,199,196,586,0,352,228,0,958,"1,172",24.0,"2,154"
1008,READING,-,2,44262,332,12,2287,0,330,478,0,478,478,52,84,170,0,172,0,0,835,"1,005",30.0,"1,870"
1009,READING,-,3,78261,1761,30,4196,0,1733,1618,288,1330,1504,516,63,468,12,445,114,0,923,"1,231",34.0,"2,188"
1010,READING,-,4,31572,854,12,2359,0,1246,959,356,603,883,295,0,192,12,384,76,0,811,"1,076",23.0,"1,910"
1011,READING,-,5,65117,355,24,3171,0,931,926,264,662,926,131,84,275,0,436,0,0,943,942,30.0,"1,915"
1012,READING,-,6,30162,823,18,2237,0,1076,716,180,536,640,270,0,150,12,208,76,0,700,855,23.0,"1,578"
1013,READING,-,7,62256,262,24,2939,0,546,555,0,555,555,68,63,295,0,129,0,0,927,"1,072",23.0,"2,022"
1014,READING,-,8,57491,1481,0,3393,20,546,1235,204,1031,1007,164,127,437,0,279,228,0,815,"1,123",30.0,"1,968"
1015,REHOBOTH,-,1,66047,1771,3,1678,120,1064,1691,364,1327,1490,536,212,154,0,588,191,10,"1,224",979,65.0,"2,268"
1016,REHOBOTH,-,2,72359,1000,0,857,324,671,1886,788,1098,1740,152,387,233,0,968,146,0,"1,193","1,079",36.0,"2,308"
